record_id,pairing_status,video_path,video_status,fps,width,height,frame_count,duration_s,timestamp_source,strong_motion_paths,strong_motion_segments,strong_motion_samples,strong_motion_duration_s,pga_horizontal_vector_gal,pga_max_horizontal_component_gal,event_group,camera_id,site_id,scale_state
42,paired,${DATA_ROOT}/视频/42.avi,readable,48.951048,2448,2048,1170,23.901429035799193,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/42.txt,1,5800,57.99,164.3955821699598,163.249,42,unknown,shake_table_setup_unknown,UNCALIBRATED
43,paired,${DATA_ROOT}/视频/43.avi,readable,49.554,2448,2048,2260,45.60681276990757,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/43.txt,1,6600,65.99,162.17972268443427,152.495,43,unknown,shake_table_setup_unknown,UNCALIBRATED
44,paired,${DATA_ROOT}/视频/44.avi,readable,48.951048,2448,2048,1445,29.519286287803276,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/44.txt,1,5900,58.99,189.22669149197745,188.122,44,unknown,shake_table_setup_unknown,UNCALIBRATED
45,paired,${DATA_ROOT}/视频/45.avi,readable,49.504952,2448,2048,1609,32.50179901194531,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/45.txt,1,6300,62.99,145.88884441587712,140.914,45,unknown,shake_table_setup_unknown,UNCALIBRATED
46,paired,${DATA_ROOT}/视频/46.avi,readable,48.9022,2448,2048,5097,104.22843962030338,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/46.txt,1,11400,113.99,148.394101641541,140.601,46,unknown,shake_table_setup_unknown,UNCALIBRATED
47,paired,${DATA_ROOT}/视频/47.avi,readable,49.554,2448,2048,2022,40.803971425111996,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/47.txt,1,6000,59.99,176.80480888539205,173.829,47,unknown,shake_table_setup_unknown,UNCALIBRATED
48,paired,${DATA_ROOT}/视频/48.avi,readable,48.951048,2448,2048,877,17.91585749093666,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/48.txt,1,5900,58.99,217.87330032842482,208.54,48,unknown,shake_table_setup_unknown,UNCALIBRATED
49,paired,${DATA_ROOT}/视频/49.avi,readable,49.504952,2448,2048,2730,55.14599832356165,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/49.txt,1,7400,73.99,227.33893964079274,216.399,49,unknown,shake_table_setup_unknown,UNCALIBRATED
50,paired,${DATA_ROOT}/视频/50.avi,readable,49.554,2448,2048,1274,25.709327198611614,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/50.txt,1,6100,60.99,176.34025909303864,176.016,50,unknown,shake_table_setup_unknown,UNCALIBRATED
51,paired,${DATA_ROOT}/视频/51.avi,readable,50.0,2448,2048,2017,40.34,container_constant_frame_rate_unverified_pts,${DATA_ROOT}/强震仪/51.txt,1,6200,61.99,200.02586147296054,198.407,51,unknown,shake_table_setup_unknown,UNCALIBRATED
